MeterID,HouseholdID,InstallationDate,MeterType,TariffID
201,101,2020-12-04,Smart Meter,302
202,122,2020-11-19,Analog,302
203,133,2020-11-28,Analog,302
204,104,2020-09-16,Smart Meter,301
205,128,2020-06-19,Smart Meter,302
206,123,2020-07-14,Analog,301
207,115,2020-07-13,Smart Meter,303
208,140,2020-03-20,Analog,303
209,132,2020-01-17,Analog,303
210,116,2020-10-03,Smart Meter,303
211,119,2020-03-02,Analog,302
212,136,2020-10-05,Smart Meter,303
213,139,2020-06-21,Analog,301
214,124,2020-12-15,Analog,302
215,132,2020-02-14,Analog,302
216,116,2020-07-23,Smart Meter,301
217,127,2020-12-18,Analog,303
218,126,2020-04-03,Smart Meter,302
219,136,2020-02-04,Smart Meter,303
220,104,2020-11-19,Smart Meter,303
221,107,2020-02-03,Analog,302
222,115,2020-09-03,Analog,302
223,113,2020-01-11,Analog,302
224,124,2020-07-25,Smart Meter,302
225,139,2020-01-08,Analog,302
226,126,2020-08-16,Smart Meter,303
227,127,2020-11-23,Analog,302
228,130,2020-02-25,Analog,302
229,102,2020-10-04,Analog,303
230,108,2020-11-25,Smart Meter,302
231,110,2020-09-07,Analog,301
232,139,2020-06-09,Smart Meter,301
233,135,2020-09-10,Smart Meter,302
234,117,2020-06-03,Smart Meter,302
235,134,2020-07-06,Smart Meter,303
236,128,2020-08-01,Smart Meter,301
237,117,2020-03-09,Analog,303
238,130,2020-03-22,Analog,301
239,111,2020-07-12,Smart Meter,303
240,101,2020-08-17,Analog,302
241,119,2020-05-01,Analog,302
242,107,2020-05-11,Smart Meter,302
243,107,2020-04-12,Smart Meter,301
244,132,2020-04-02,Analog,302
245,117,2020-01-21,Smart Meter,301
246,133,2020-11-03,Smart Meter,303
247,126,2020-05-19,Smart Meter,301
248,123,2020-02-05,Analog,302
249,105,2020-09-14,Smart Meter,303
250,112,2020-08-16,Analog,301
