HouseholdID,AreaID,NumResidents,BuildingType,SquareMeters
101,3,5,Townhouse,198.32
102,1,5,Detached House,110.27
103,3,5,Townhouse,184.72
104,4,2,Detached House,196.21
105,4,3,Apartment,86.35
106,4,5,Townhouse,78.1
107,1,5,Townhouse,174.29
108,3,4,Apartment,97.91
109,4,3,Apartment,101.46
110,3,4,Detached House,140.69
111,2,2,Detached House,107.66
112,4,5,Detached House,180.97
113,2,4,Apartment,158.38
114,1,3,Detached House,181.33
115,3,2,Townhouse,159.48
116,4,5,Townhouse,199.88
117,4,2,Detached House,174.14
118,3,4,Townhouse,85.16
119,4,4,Townhouse,121.27
120,2,5,Apartment,87.02
121,1,1,Detached House,192.61
122,2,4,Townhouse,191.69
123,4,2,Apartment,52.1
124,2,2,Apartment,108.0
125,1,1,Apartment,60.07
126,3,1,Apartment,173.43
127,2,5,Detached House,94.99
128,1,1,Townhouse,126.9
129,2,5,Townhouse,138.81
130,1,3,Apartment,97.68
131,2,4,Apartment,77.82
132,3,4,Detached House,187.78
133,1,4,Townhouse,108.92
134,4,2,Apartment,135.0
135,2,4,Townhouse,87.08
136,2,3,Detached House,134.43
137,3,3,Detached House,68.97
138,2,1,Townhouse,63.8
139,3,5,Detached House,102.94
140,4,5,Apartment,115.85
