OutageID,AreaID,StartTime,EndTime,Reason
801,3,2023-10-07 11:00:00,2023-10-07 17:00:00,Maintenance
802,1,2023-10-16 00:00:00,2023-10-16 03:00:00,Storm Damage
803,2,2023-10-15 00:00:00,2023-10-15 07:00:00,Maintenance
804,1,2023-10-12 03:00:00,2023-10-12 07:00:00,Storm Damage
805,2,2023-10-08 23:00:00,2023-10-09 09:00:00,Storm Damage
806,2,2023-11-13 22:00:00,2023-11-14 01:00:00,Maintenance
807,4,2023-10-20 20:00:00,2023-10-21 01:00:00,Maintenance
808,1,2023-10-15 11:00:00,2023-10-15 16:00:00,Equipment Failure
809,4,2023-11-09 06:00:00,2023-11-09 07:00:00,Maintenance
810,4,2023-11-08 21:00:00,2023-11-09 04:00:00,Equipment Failure
811,2,2023-11-10 15:00:00,2023-11-10 19:00:00,Scheduled Upgrade
812,2,2023-11-22 20:00:00,2023-11-22 21:00:00,Scheduled Upgrade
813,1,2023-10-17 13:00:00,2023-10-18 00:00:00,Storm Damage
814,1,2023-10-03 17:00:00,2023-10-04 01:00:00,Maintenance
815,4,2023-10-20 22:00:00,2023-10-21 05:00:00,Equipment Failure
816,4,2023-10-17 00:00:00,2023-10-17 06:00:00,Maintenance
817,2,2023-10-30 15:00:00,2023-10-30 17:00:00,Storm Damage
818,4,2023-11-24 10:00:00,2023-11-24 12:00:00,Scheduled Upgrade
819,1,2023-10-19 20:00:00,2023-10-19 22:00:00,Storm Damage
820,4,2023-10-16 19:00:00,2023-10-17 04:00:00,Equipment Failure
821,4,2023-11-06 16:00:00,2023-11-06 20:00:00,Storm Damage
822,3,2023-10-03 05:00:00,2023-10-03 06:00:00,Maintenance
823,1,2023-10-09 16:00:00,2023-10-10 02:00:00,Maintenance
824,4,2023-10-25 04:00:00,2023-10-25 15:00:00,Scheduled Upgrade
825,1,2023-11-02 02:00:00,2023-11-02 08:00:00,Scheduled Upgrade
826,4,2023-10-24 21:00:00,2023-10-25 01:00:00,Maintenance
827,4,2023-11-16 01:00:00,2023-11-16 09:00:00,Equipment Failure
828,4,2023-10-03 03:00:00,2023-10-03 08:00:00,Equipment Failure
829,1,2023-10-21 07:00:00,2023-10-21 09:00:00,Equipment Failure
830,3,2023-11-05 13:00:00,2023-11-05 23:00:00,Maintenance
