SourceID,HouseholdID,SourceType,Capacity,InstallationDate
701,110,Solar,13.9,2019-04-01
702,109,Solar,11.7,2021-10-03
703,134,Solar,6.3,2018-03-12
704,137,Wind,6.8,2018-10-20
705,128,Solar,8.8,2021-07-05
706,107,Hydro,11.5,2020-11-01
707,122,Solar,3.7,2020-06-13
708,138,Solar,6.3,2022-11-30
709,130,Hydro,11.3,2018-06-14
710,119,Wind,12.3,2018-01-19
711,113,Hydro,9.7,2019-07-14
712,106,Hydro,8.0,2020-07-29
713,139,Hydro,6.1,2020-06-05
714,116,Solar,5.0,2018-09-05
715,114,Solar,9.5,2018-01-07
716,127,Hydro,7.0,2021-05-06
717,132,Wind,10.3,2019-10-02
718,136,Wind,7.4,2018-02-10
719,102,Solar,6.4,2022-02-24
720,121,Wind,7.3,2019-01-04
721,133,Wind,5.5,2020-07-26
722,129,Wind,9.0,2021-02-28
723,104,Solar,1.5,2019-05-18
724,117,Solar,11.1,2020-09-11
