WeatherID,AreaID,Date,Temperature,Humidity,WindSpeed,Precipitation
501,1,2023-10-01,17.9,23.2,3.7,14.7
502,1,2023-10-02,17.3,67.4,15.7,40.2
503,1,2023-10-03,-5.5,87.5,16.8,30.6
504,1,2023-10-04,5.0,93.0,7.1,14.6
505,1,2023-10-05,-7.9,26.4,10.6,43.6
506,1,2023-10-06,26.7,51.8,16.3,39.2
507,1,2023-10-07,29.7,58.3,5.2,49.4
508,1,2023-10-08,34.3,36.0,5.4,18.5
509,1,2023-10-09,-5.9,97.3,10.4,22.5
510,1,2023-10-10,-2.1,77.6,18.9,40.2
511,1,2023-10-11,14.9,74.7,4.4,4.5
512,1,2023-10-12,14.4,93.6,4.0,46.4
513,1,2023-10-13,9.7,45.4,16.9,49.8
514,1,2023-10-14,21.3,65.6,3.0,0.7
515,1,2023-10-15,-3.6,68.3,8.3,19.8
516,1,2023-10-16,17.3,99.1,12.0,29.8
517,1,2023-10-17,27.8,74.6,5.7,11.1
518,1,2023-10-18,20.5,85.7,3.5,42.6
519,1,2023-10-19,1.6,69.2,11.8,21.4
520,1,2023-10-20,20.4,66.4,15.2,24.4
521,1,2023-10-21,33.8,59.2,3.7,31.4
522,1,2023-10-22,22.8,22.4,0.5,18.2
523,1,2023-10-23,0.2,30.7,6.6,24.3
524,1,2023-10-24,1.8,63.1,2.4,11.5
525,1,2023-10-25,23.9,32.6,8.8,32.6
526,1,2023-10-26,7.6,81.2,15.5,37.9
527,1,2023-10-27,1.2,71.7,4.1,10.6
528,1,2023-10-28,14.3,72.8,7.6,31.9
529,1,2023-10-29,17.3,97.6,4.0,32.0
530,1,2023-10-30,-6.0,38.0,8.8,26.1
531,1,2023-10-31,26.3,94.9,18.4,42.9
532,1,2023-11-01,7.0,67.7,11.4,23.5
533,1,2023-11-02,20.2,27.7,5.1,1.9
534,1,2023-11-03,-1.8,75.8,0.9,38.9
535,1,2023-11-04,-6.2,54.0,9.9,32.2
536,1,2023-11-05,-7.1,97.9,10.2,12.6
537,1,2023-11-06,-4.9,28.9,3.5,47.8
538,1,2023-11-07,-2.6,44.4,2.7,0.4
539,1,2023-11-08,22.2,55.7,14.0,44.1
540,1,2023-11-09,26.5,83.9,14.5,24.6
541,1,2023-11-10,-1.7,55.8,12.1,14.0
542,1,2023-11-11,-2.5,60.1,1.3,23.3
543,1,2023-11-12,-2.8,92.6,1.8,41.6
544,1,2023-11-13,5.9,66.0,6.4,24.2
545,1,2023-11-14,6.5,65.3,16.0,20.9
546,1,2023-11-15,5.8,83.6,10.8,46.7
547,1,2023-11-16,21.7,36.8,15.1,45.5
548,1,2023-11-17,32.5,55.9,8.2,32.8
549,1,2023-11-18,1.5,27.9,15.6,4.8
550,1,2023-11-19,-2.2,75.0,16.8,44.6
551,1,2023-11-20,6.6,73.2,12.9,13.7
552,1,2023-11-21,-5.4,94.2,19.9,49.5
553,1,2023-11-22,3.7,91.9,18.9,41.9
554,1,2023-11-23,11.7,65.7,19.6,30.6
555,1,2023-11-24,30.3,56.7,13.0,33.6
556,1,2023-11-25,9.0,36.4,1.2,24.5
557,1,2023-11-26,28.5,98.0,18.8,8.0
558,1,2023-11-27,16.5,26.0,17.3,26.3
559,1,2023-11-28,7.1,57.7,5.3,4.6
560,1,2023-11-29,2.3,22.7,2.8,7.7
561,1,2023-11-30,9.1,26.2,7.9,24.7
562,1,2023-12-01,13.9,80.0,17.0,17.9
563,2,2023-10-01,6.5,92.4,11.4,47.0
564,2,2023-10-02,18.0,21.5,5.7,35.3
565,2,2023-10-03,20.3,50.9,17.6,30.6
566,2,2023-10-04,22.2,52.9,16.8,7.7
567,2,2023-10-05,23.5,49.2,10.6,36.8
568,2,2023-10-06,8.6,31.0,11.4,24.7
569,2,2023-10-07,13.3,27.6,3.4,22.8
570,2,2023-10-08,20.8,78.0,15.8,0.3
571,2,2023-10-09,-2.0,52.2,8.2,27.0
572,2,2023-10-10,16.5,24.6,16.2,31.4
573,2,2023-10-11,-8.3,20.0,9.9,26.3
574,2,2023-10-12,1.0,52.7,1.0,33.1
575,2,2023-10-13,5.8,69.6,5.4,47.0
576,2,2023-10-14,-7.8,48.1,10.3,18.0
577,2,2023-10-15,17.3,44.7,6.0,38.9
578,2,2023-10-16,-2.4,32.0,10.4,6.7
579,2,2023-10-17,-6.9,34.5,14.3,45.3
580,2,2023-10-18,22.9,57.6,9.6,25.9
581,2,2023-10-19,12.4,81.9,3.8,31.4
582,2,2023-10-20,17.0,42.7,18.6,10.0
583,2,2023-10-21,20.9,44.4,10.2,19.5
584,2,2023-10-22,1.6,48.9,17.1,15.8
585,2,2023-10-23,-1.1,69.8,15.7,4.6
586,2,2023-10-24,10.8,55.1,3.4,21.7
587,2,2023-10-25,10.5,66.2,13.9,25.2
588,2,2023-10-26,25.8,35.2,10.2,3.6
589,2,2023-10-27,7.2,95.7,4.6,49.5
590,2,2023-10-28,18.9,67.6,6.5,6.9
591,2,2023-10-29,-1.2,25.8,17.9,30.6
592,2,2023-10-30,24.1,23.1,18.6,19.0
593,2,2023-10-31,5.6,28.7,5.1,45.9
594,2,2023-11-01,27.6,93.9,6.2,28.4
595,2,2023-11-02,25.4,87.3,13.2,20.3
596,2,2023-11-03,-4.1,83.8,19.2,34.9
597,2,2023-11-04,26.0,85.4,19.2,9.4
598,2,2023-11-05,27.2,42.8,18.1,47.0
599,2,2023-11-06,28.4,63.2,5.2,47.2
600,2,2023-11-07,33.2,73.7,9.6,0.9
601,2,2023-11-08,-1.6,57.8,13.9,34.9
602,2,2023-11-09,6.4,39.2,7.2,41.1
603,2,2023-11-10,12.7,83.6,6.6,42.9
604,2,2023-11-11,24.8,57.7,6.1,0.5
605,2,2023-11-12,11.7,46.8,4.5,7.6
606,2,2023-11-13,7.5,60.8,9.4,49.5
607,2,2023-11-14,7.2,41.7,7.1,34.5
608,2,2023-11-15,25.6,23.4,4.3,47.3
609,2,2023-11-16,-8.7,45.7,7.5,8.7
610,2,2023-11-17,34.6,90.0,10.7,29.7
611,2,2023-11-18,-0.9,36.1,9.8,33.1
612,2,2023-11-19,-3.7,98.2,6.3,5.3
613,2,2023-11-20,23.4,36.4,1.1,24.3
614,2,2023-11-21,4.6,89.2,2.9,37.2
615,2,2023-11-22,8.2,91.8,9.0,3.4
616,2,2023-11-23,1.2,59.5,7.4,16.7
617,2,2023-11-24,17.7,45.8,4.9,15.4
618,2,2023-11-25,20.5,94.5,2.0,41.0
619,2,2023-11-26,25.8,76.5,10.5,14.1
620,2,2023-11-27,1.0,37.0,9.6,1.6
621,2,2023-11-28,-8.0,87.9,7.6,14.7
622,2,2023-11-29,5.1,32.4,8.9,15.9
623,2,2023-11-30,29.0,48.8,18.1,17.9
624,2,2023-12-01,29.2,22.9,14.7,47.7
625,3,2023-10-01,-9.5,33.1,16.1,42.5
626,3,2023-10-02,34.0,29.6,6.9,47.5
627,3,2023-10-03,9.1,74.3,1.8,7.5
628,3,2023-10-04,21.9,44.5,13.0,38.2
629,3,2023-10-05,-5.1,62.7,8.3,1.6
630,3,2023-10-06,0.4,51.2,11.4,25.7
631,3,2023-10-07,-8.0,86.1,14.6,16.2
632,3,2023-10-08,5.7,38.8,2.2,5.6
633,3,2023-10-09,-3.7,25.8,6.2,46.0
634,3,2023-10-10,1.9,64.1,9.4,25.1
635,3,2023-10-11,18.9,56.7,2.9,22.2
636,3,2023-10-12,17.3,44.0,13.6,44.0
637,3,2023-10-13,12.7,29.6,7.3,2.7
638,3,2023-10-14,-7.9,66.9,10.3,23.2
639,3,2023-10-15,-8.3,44.8,17.2,1.3
640,3,2023-10-16,-1.1,74.3,17.9,35.1
641,3,2023-10-17,-9.6,93.4,15.5,28.6
642,3,2023-10-18,0.5,24.7,4.4,17.2
